Index,Bab,Kategori,Kanji,Kana,Romaji,Arti,Kelas Kata,Konjugasi,Transitivitas,Catatan Tambahan
1371,26,Kata Kerja,やります,やります,yarimasu,Melakukan / Mengerjakan,Kata Kerja,Godan (I),Tadoushi (Transitif),Tidak digunakan untuk: 結婚・スポーツ・勉強
1372,26,Kata Kerja,スポーツをします,スポーツをします,supootsu o shimasu,Berolahraga,Kata Kerja,Irregular (III),Tadoushi (Transitif),
1373,26,Kata Kerja,連絡します,れんらくします,renraku shimasu,"Menghubungi, mengabari",Kata Kerja,Irregular (III),Tadoushi (Transitif),
1374,26,Kata Sifat (I),気分がいい,きぶんがいい,kibun ga ii,Kondisi (Mood) baik,Kata Sifat (I),,,
1375,26,Kata Sifat (I),気分が悪い,きぶんがわるい,kibun ga warui,Kondisi (Mood) buruk,Kata Sifat (I),,,
1376,26,Kata Sifat (I),体調がいい,たいちょうがいい,taichou ga ii,Kondisi (Kesehatan) baik,Kata Sifat (I),,,
1377,26,Kata Sifat (I),体調が悪い,たいちょうがわるい,taichou ga warui,Kondisi (Kesehatan) buruk,Kata Sifat (I),,,
1378,26,Kata Sifat (I),気持ちがいい,きもちがいい,kimochi ga ii,Kondisi (Perasaan) baik,Kata Sifat (I),,,
1379,26,Kata Sifat (I),気持ちが悪い,きもちがわるい,kimochi ga warui,Kondisi (Perasaan) buruk,Kata Sifat (I),,,
1380,26,Kata Benda,運動会,うんどうかい,undoukai,Festival / Perayaan Olahraga,Kata Benda,,,
1381,26,Kata Benda,運動,うんどう,undou,Olahraga,Kata Benda,,,
1382,26,Kata Kerja,運動します,うんどうします,undou shimasu,Berolahraga,Kata Kerja,Irregular (III),Tadoushi (Transitif),
1383,26,Kata Benda,盆踊り,ぼんおどり,bon odori,Tarian Bon,Kata Benda,,,
1384,26,Kata Benda,盆祭り,ぼんまつり,bon matsuri,Festival Bon,Kata Benda,,,
1385,26,Kata Benda,踊り,おどり,odori,Tarian,Kata Benda,,,
1386,26,Kata Kerja,踊ります,おどります,odorimasu,Menari,Kata Kerja,Godan (I),Jidoushi (Intransitif),
1387,26,Kata Benda,フリーマーケット,フリーマーケット,furi maaketto,Flea Market Lapak Dadakan,Kata Benda,,,
1388,26,Kata Benda,ボランティア,ボランティア,borantia,Volunteer Sukarelawan,Kata Benda,,,
1389,26,Kata Benda,財布,さいふ,saifu,Dompet,Kata Benda,,,
1390,26,Kata Benda,交番,こうばん,kouban,Pos Polisi,Kata Benda,,,
1391,26,Kata Benda,塵／ゴミ,ごみ／ゴミ,gomi,Sampah,Kata Benda,,,
1392,26,Kata Benda,国会議事堂,こっかいぎじどう,kokkaigijidou,Gedung Parlemen,Kata Benda,,,
1393,26,Kata Benda,祝日,しゅくじつ,shukujitsu,Hari Raya (Hari Libur),Kata Benda,,,
1394,26,Kata Benda,関西弁,かんさいべん,kansaiben,Dialek Kansai,Kata Benda,,,Termasuk Osaka弁（おおさかべん）
1395,26,Kata Benda,沖縄弁,おきなわべん,okinawaben,Dialek Okinawa,Kata Benda,,,
